RegistryName,DisplayName
UTC,Coordinated Universal Time
GMT Standard Time,null
Greenwich Standard Time,null
Sao Tome Standard Time,null
W. Europe Standard Time,null
Central Europe Standard Time,null
Romance Standard Time,null
Morocco Standard Time,null
Central European Standard Time,null
W. Central Africa Standard Time,West Central Africa Standard Time
GTB Standard Time,null
Middle East Standard Time,null
Egypt Standard Time,null
E. Europe Standard Time,East Europe Standard Time
Syria Standard Time,null
West Bank Standard Time,West Bank Gaza Standard Time
South Africa Standard Time,null
FLE Standard Time,null
Israel Standard Time,Jerusalem Standard Time
South Sudan Standard Time,null
Kaliningrad Standard Time,null
Sudan Standard Time,null
Libya Standard Time,null
Namibia Standard Time,null
Jordan Standard Time,null
Arabic Standard Time,null
Turkey Standard Time,null
Arab Standard Time,null
Belarus Standard Time,null
Russian Standard Time,null
E. Africa Standard Time,East Africa Standard Time
Volgograd Standard Time,null
Iran Standard Time,null
Arabian Standard Time,null
Astrakhan Standard Time,null
Azerbaijan Standard Time,null
Russia Time Zone 3,null
Mauritius Standard Time,null
Saratov Standard Time,null
Georgian Standard Time,null
Caucasus Standard Time,null
Afghanistan Standard Time,null
West Asia Standard Time,null
Ekaterinburg Standard Time,null
Pakistan Standard Time,null
Qyzylorda Standard Time,null
India Standard Time,null
Sri Lanka Standard Time,null
Nepal Standard Time,null
Central Asia Standard Time,null
Bangladesh Standard Time,null
Omsk Standard Time,null
Myanmar Standard Time,null
SE Asia Standard Time,South East Asia Standard Time
Altai Standard Time,null
W. Mongolia Standard Time,West Mongolia Standard Time
North Asia Standard Time,null
N. Central Asia Standard Time,North Central Asia Standard Time
Tomsk Standard Time,null
China Standard Time,null
North Asia East Standard Time,null
Singapore Standard Time,Malay Peninsula Standard Time
W. Australia Standard Time,West Australia Standard Time
Taipei Standard Time,null
Ulaanbaatar Standard Time,null
Aus Central W. Standard Time,Aus Central West Standard Time
Transbaikal Standard Time,null
Tokyo Standard Time,null
North Korea Standard Time,null
Korea Standard Time,null
Yakutsk Standard Time,null
Cen. Australia Standard Time,Central Australia Standard Time
AUS Central Standard Time,null
E. Australia Standard Time,East Australia Standard Time
AUS Eastern Standard Time,null
West Pacific Standard Time,null
Tasmania Standard Time,null
Vladivostok Standard Time,null
Lord Howe Standard Time,null
Bougainville Standard Time,null
Russia Time Zone 10,Russia TZ 10 Standard Time
Magadan Standard Time,null
Norfolk Standard Time,null
Sakhalin Standard Time,null
Central Pacific Standard Time,null
Russia Time Zone 11,Russia TZ 11 Standard Time
New Zealand Standard Time,null
UTC+12,Coordinated Universal Time + 12:00
Fiji Standard Time,null
Kamchatka Standard Time,null
Chatham Islands Standard Time,null
UTC+13,Coordinated Universal Time + 13:00
Tonga Standard Time,null
Samoa Standard Time,null
Line Islands Standard Time,null
Azores Standard Time,null
Cape Verde Standard Time,Cabo Verde Standard Time
UTC-02,Coordinated Universal Time - 02:00
Mid-Atlantic Standard Time,null
Tocantins Standard Time,null
E. South America Standard Time,East South America Standard Time
SA Eastern Standard Time,null
Argentina Standard Time,null
Greenland Standard Time,null
Montevideo Standard Time,null
Magallanes Standard Time,null
Saint Pierre Standard Time,null
Bahia Standard Time,null
Newfoundland Standard Time,null
Paraguay Standard Time,null
Atlantic Standard Time,null
Venezuela Standard Time,null
Central Brazilian Standard Time,null
SA Western Standard Time,null
Pacific SA Standard Time,null
SA Pacific Standard Time,null
Eastern Standard Time (Mexico),null
Eastern Standard Time,null
Haiti Standard Time,null
Cuba Standard Time,null
US Eastern Standard Time,null
Turks And Caicos Standard Time,null
Central America Standard Time,null
Central Standard Time,null
Easter Island Standard Time,null
Central Standard Time (Mexico),null
Canada Central Standard Time,null
US Mountain Standard Time,null
Mountain Standard Time (Mexico),null
Mountain Standard Time,null
Yukon Standard Time,null
Pacific Standard Time (Mexico),null
UTC-08,Coordinated Universal Time - 08:00
Pacific Standard Time,null
Alaskan Standard Time,null
UTC-09,Coordinated Universal Time - 09:00
Marquesas Standard Time,null
Aleutian Standard Time,null
Hawaiian Standard Time,null
UTC-11,Coordinated Universal Time - 11:00
Dateline Standard Time,null
